 Message-ID ,Date , From,To,Cc,Bcc, Subject , Body,Folder,Attachments,is_spam,thread_id
<0.5506@enron.com>,2001-05-03 03:00:00,mark.taylor@enron.com,david.delainey@enron.com,   ,,  Action needed: reset your password  ," 
Your account has been limited. Click here to restore access.   ",INBOX,,1,t131
<1.9928@enron.com>,2001-05-17 23:01:00,jeff.skilling@enron.com,ken.lay@enron.com,   ,,Confidential Wire Transfer Instructions," 
We noticed an unusual sign-in from Russia. If this was you, ignore.   ",archive/2001/Q2,,1,t153
<2.7224@enron.com>,2001-05-08 21:02:00,john.arnold@enron.com,richard.causey@enron.com,,,  Board materials  ," 
Please find attached the draft term sheet. Let's review at 3pm.   ",inbox,,0,t112
<3.4733@enron.com>,2001-05-04 21:03:00,lea.fastow@enron.com,andrew.fastow@enron.com; sherron.watkins@enron.com,,,  Meeting follow-up  ," 
As discussed, we should revisit the mark-to-market assumptions.   ",inbox,,0,t198
<4.5010@enron.com>,2001-06-15 13:04:00,cindy.olson@enron.com,jeff.skilling@enron.com,   ,,  Talking points for analysts  ," 
See the updated forecast. Numbers improved vs last week.   ",sent,,0,t120
<5.9179@enron.com>,2001-05-19 03:05:00,cindy.olson@enron.com,louise.kitchen@enron.com; mark.taylor@enron.com,,  ,  Re: Asset sale discussion  ,Looping in Legal to confirm the counterparty language.,deleted_items,,0,t150
<6.2796@enron.com>,2001-05-05 00:06:00,richard.causey@enron.com,cindy.olson@enron.com; louise.kitchen@enron.com,,,VPP auction,We need approval before close of business Thursday.,INBOX,,0,t119
<7.6573@enron.com>,2001-06-24 16:07:00,david.delainey@enron.com,cindy.olson@enron.com,,,FYI: trading limits,Let’s keep this between us for now.,deleted_items,,0,t114
<8.9837@enron.com>,2001-05-14 18:08:00,andrew.fastow@enron.com,john.arnold@enron.com; louise.kitchen@enron.com,   ,,  California power contracts  ,Can you socialize this with your team and revert?,deleted_items,,0,t199
<9.3103@enron.com>,2001-05-11 17:09:00,ken.lay@enron.com,louise.kitchen@enron.com,,,Re: FYI: trading limits," 
We need approval before close of business Thursday.   ",archive/2001/Q2,,0,t184
<10.4681@enron.com>,2001-05-22 03:10:00,richard.causey@enron.com,ken.lay@enron.com; lea.fastow@enron.com,   ,,Draft term sheet,Please find attached the draft term sheet. Let's review at 3pm.,INBOX,draft.docx,0,t108
<11.8744@enron.com>,2001-05-12 06:11:00,lea.fastow@enron.com,richard.causey@enron.com,,  ,  Re: VPP auction  ,"As discussed, we should revisit the mark-to-market assumptions.",archive/2001/Q2,,0,t131
<12.5073@enron.com>,2001-05-10 07:12:00,sherron.watkins@enron.com,louise.kitchen@enron.com,,,  Invoice Attached - Payment Overdue  ,Congratulations! You have been selected. Provide details to claim.,DELETED_ITEMS,invoice.pdf,1,t124
<13.9856@enron.com>,2001-06-25 15:13:00,ken.lay@enron.com,jeff.skilling@enron.com,,,  Re: Draft term sheet  ," 
Can you socialize this with your team and revert?   ",inbox,draft.docx,0,t101
<14.8973@enron.com>,2001-06-29 10:14:00,louise.kitchen@enron.com,cindy.olson@enron.com,,,  Bank Notice: Suspicious Login Attempt  ," 
Your account has been limited. Click here to restore access.   ",DRAFTS,,1,t119
<15.9320@enron.com>,2001-05-05 20:15:00,david.delainey@enron.com,mark.taylor@enron.com,,,  Meeting follow-up  ,See the updated forecast. Numbers improved vs last week.,sent,,0,t110
<16.4346@enron.com>,2001-05-23 06:16:00,david.delainey@enron.com,john.arnold@enron.com,ken.lay@enron.com,  ,  Re: Draft term sheet  ,Looping in Legal to confirm the counterparty language.,deleted_items,draft.docx,0,t185
<17.5345@enron.com>,2001-06-13 04:17:00,david.delainey@enron.com,cindy.olson@enron.com; louise.kitchen@enron.com,   ,,Meeting follow-up,Heads up—there’s press interest; comms wants a talking points doc.,sent,,0,t116
